crime_id,entity,entity_classification
690b060adfcea955fcf7f12a,27a,small
690b060adfcea955fcf7f12a,27,small
690b86d7e85eee840d4ff237,8b,intermediate
690b86d7e85eee840d4ff237,8,small
690b86d7e85eee840d4ff237,20ai,cultivation
690b86d7e85eee840d4ff237,20,small
690b86d7e85eee840d4ff237,20biia,small
690c7b91f96aa3240c2f0803,1372,small
690c7b91f96aa3240c2f0803,137,small
690c7b91f96aa3240c2f0803,2,small
690c7b91f96aa3240c2f0803,782,small
690c7b91f96aa3240c2f0803,78,small
690c7b91f96aa3240c2f0803,11,small
690c7b91f96aa3240c2f0803,2012,small
690c7b91f96aa3240c2f0803,12,small
690c7b91f96aa3240c2f0803,27,small
690c7b91f96aa3240c2f0803,29,small
690c7b91f96aa3240c2f0803,9,small
690c7b91f96aa3240c2f0803,10,small
690c8177e85eee4b6f6b7d35,8c,small
690c8177e85eee4b6f6b7d35,20biib,intermediate
690c8177e85eee4b6f6b7d35,20,small
690c956fe85eeee3586e1de5,8c,small
690c956fe85eeee3586e1de5,20biib,intermediate
690c956fe85eeee3586e1de5,20,small
690c95a291eafff39ec9a1b2,20biib,intermediate
690c95a291eafff39ec9a1b2,20,small
690c9e6f1504b1c1f8a6b2f0,312,small
690c9e6f1504b1c1f8a6b2f0,313,small
690c9e6f1504b1c1f8a6b2f0,111,small
690c9e6f1504b1c1f8a6b2f0,1894,small
690c9e6f1504b1c1f8a6b2f0,189,small
690c9e6f1504b1c1f8a6b2f0,4,small
690c9e6f1504b1c1f8a6b2f0,190,small
690c9e6f1504b1c1f8a6b2f0,25,small
690c9e6f1504b1c1f8a6b2f0,1b,intermediate
690c9e6f1504b1c1f8a6b2f0,1,small
690c9e6f1504b1c1f8a6b2f0,27,small
690cac38e85eee74b1715118,8c,small
690cac38e85eee74b1715118,20biia,small
690cac38e85eee74b1715118,20,small
690cac38e85eee74b1715118,27b,small
690cac38e85eee74b1715118,27,small
690cae47b3e644fc2657ea98,8c,small
690cae47b3e644fc2657ea98,20biia,small
690cae47b3e644fc2657ea98,20,small
690cae47b3e644fc2657ea98,29,small
690caf55dfcea9c84f18052b,8c,small
690caf55dfcea9c84f18052b,20biib,intermediate
690caf55dfcea9c84f18052b,20,small
690cba5880bade1df8a0a094,8c,small
690cba5880bade1df8a0a094,20biia,small
690cba5880bade1df8a0a094,20,small
690cbda3e85eee5719723232,27,small
690cc13580bade66dba0f1ef,8c,small
690cc13580bade66dba0f1ef,20biib,intermediate
690cc13580bade66dba0f1ef,20,small
690cc13580bade66dba0f1ef,27a,small
690cc13580bade66dba0f1ef,27,small
690cc13580bade66dba0f1ef,29,small
690cc7c51d66485489c4c2f1,8c,small
690cc7c51d66485489c4c2f1,22c,commercial
690cc7c51d66485489c4c2f1,22,small
690cc7c51d66485489c4c2f1,20biia,small
690cc7c51d66485489c4c2f1,20,small
690cc7c51d66485489c4c2f1,27,small
690cc7c51d66485489c4c2f1,29,small
690d08ca1504b1330ca9c432,8c,small
690d08ca1504b1330ca9c432,20biia,small
690d08ca1504b1330ca9c432,20,small
690d5d6df96aa3eab83af59f,8c,small
690d5d6df96aa3eab83af59f,20biia,small
